# total_ram_gb=15.6
t,ram_gb,vram_gb
0.0,1.81,
1.0,1.85,
2.0,1.89,
3.0,1.95,
4.0,2.02,
5.0,2.02,
6.0,2.02,
7.0,2.07,
8.0,2.21,
9.0,2.28,
10.0,2.56,
11.0,3.31,
12.0,2.98,
13.0,2.38,
14.0,2.4,
15.0,2.4,
16.0,2.43,
17.0,2.43,
18.0,2.46,
19.0,2.46,
20.0,2.46,
21.0,2.48,
22.0,2.61,
23.0,2.62,
24.0,2.63,
25.0,2.63,
26.0,2.63,
27.0,2.63,
28.0,2.63,
29.0,2.63,
30.0,2.62,
31.0,2.5,
32.0,2.45,
33.0,2.44,
34.0,2.44,
35.0,2.43,
36.0,2.43,
37.0,2.41,
38.0,2.41,
39.0,2.41,
40.0,2.41,
41.0,2.41,
42.0,2.41,
43.0,2.41,
44.0,2.41,
45.0,2.41,
46.0,2.42,
47.0,2.41,
48.0,2.41,
49.0,2.41,
50.0,2.41,
51.0,2.42,
52.0,2.42,
53.0,2.42,
54.0,2.41,
55.0,2.41,
56.0,2.41,
57.0,2.41,
58.0,2.41,
59.0,2.41,
60.0,2.41,
61.0,2.41,
62.0,2.41,
63.0,2.4,
64.0,2.41,
65.0,2.41,
66.0,2.41,
67.0,2.4,
68.0,2.4,
69.0,2.41,
70.0,2.41,
71.0,2.4,
72.0,2.4,
73.0,2.41,
74.0,2.41,
75.0,2.4,
76.0,2.4,
77.0,2.4,
78.0,2.4,
79.0,2.4,
80.0,2.4,
81.0,2.4,
82.0,2.4,
83.0,2.4,
84.0,2.4,
85.0,2.4,
