# total_ram_gb=15.6
t,ram_gb,vram_gb
0.0,2.4,
1.0,2.4,
2.0,2.42,
3.0,2.45,
4.0,2.51,
5.0,2.51,
6.0,2.51,
7.0,2.64,
8.0,2.53,
9.0,2.56,
10.0,2.59,
11.0,2.61,
12.0,2.63,
13.0,2.65,
14.0,2.8,
15.0,2.82,
16.0,2.84,
17.0,2.82,
18.0,2.79,
19.0,2.78,
20.0,2.78,
21.0,2.76,
22.0,2.76,
23.0,2.76,
24.0,2.76,
25.0,2.75,
26.0,2.75,
27.0,2.75,
28.0,2.76,
29.0,2.88,
30.0,2.88,
31.0,2.84,
32.0,2.81,
33.0,2.8,
34.0,2.77,
35.0,2.77,
36.0,2.78,
37.0,2.76,
38.0,2.77,
39.0,2.76,
40.0,2.78,
41.0,2.78,
42.0,2.77,
43.0,2.76,
44.0,2.78,
45.0,2.95,
46.0,2.9,
47.0,2.9,
