# total_ram_gb=31.3
t,ram_gb,vram_gb
0.0,5.45,2.95
1.0,6.71,1.64
2.1,6.94,0.39
3.1,6.94,0.39
4.1,6.94,0.39
5.1,6.94,0.39
6.2,6.94,0.39
7.2,7.05,0.39
8.2,8.86,0.39
9.2,12.86,0.39
10.2,11.58,0.39
11.3,11.58,0.39
12.3,11.58,0.39
13.3,11.58,0.39
14.3,9.26,1.54
15.4,9.4,1.67
16.4,9.4,1.54
17.4,9.4,1.54
18.5,9.4,1.67
19.5,9.4,1.54
20.5,9.41,1.54
21.5,9.4,1.67
22.6,9.42,1.67
23.6,9.42,1.54
24.6,9.45,1.67
25.6,9.47,1.67
26.7,9.47,1.54
27.7,9.52,1.54
28.7,9.57,1.67
29.7,9.61,1.67
30.8,9.61,1.54
31.8,9.66,1.67
32.8,9.71,1.67
33.8,9.71,1.54
34.9,9.75,1.54
35.9,9.8,1.67
36.9,9.98,1.54
37.9,10.02,1.54
39.0,9.89,1.67
40.0,9.75,2.45
41.0,9.75,2.86
42.0,9.75,2.86
43.1,9.75,2.86
44.1,9.75,2.86
45.1,9.75,2.86
46.2,9.75,2.86
47.2,9.31,2.79
48.2,9.58,2.79
49.2,9.46,2.79
50.3,9.34,2.89
51.3,9.46,2.89
52.3,9.34,2.95
53.3,9.34,2.95
54.4,9.58,0.39
55.4,9.58,0.39
56.4,9.58,0.39
