# total_ram_gb=14.6
t,ram_gb,vram_gb
0.1,2.55,0.44
2.2,2.55,0.44
3.9,2.57,0.44
6.0,2.63,0.44
7.9,2.6,0.44
9.4,2.62,0.44
11.2,2.63,0.44
13.1,2.64,0.44
15.3,2.66,0.44
17.0,2.69,0.44
18.9,2.72,0.44
20.7,2.73,0.44
22.6,2.73,0.44
24.5,2.75,0.44
26.4,2.76,0.44
28.1,2.77,0.44
30.1,2.77,0.44
31.7,2.78,0.44
33.8,2.79,0.44
35.5,2.81,0.44
37.6,2.87,0.44
39.2,2.88,0.44
41.2,2.91,0.44
43.2,2.97,0.44
45.2,3.01,0.44
47.1,3.05,0.44
49.0,3.08,0.44
51.0,3.1,0.44
52.5,3.08,0.44
53.9,3.09,0.44
55.7,3.1,0.44
57.4,3.12,0.44
59.2,3.13,0.44
60.9,3.14,0.44
62.6,3.15,0.44
64.6,3.19,0.44
66.7,3.2,0.44
68.5,3.21,0.44
70.4,3.23,0.44
72.4,3.24,0.44
74.3,3.24,0.44
76.3,3.25,0.44
78.3,3.28,0.44
80.4,3.28,0.44
82.4,3.3,0.44
84.8,3.37,0.44
87.3,3.42,0.44
89.1,3.44,0.44
91.1,3.37,0.44
92.7,3.32,0.44
94.9,3.47,
98.3,3.64,
102.0,3.85,
111.4,4.37,
114.9,4.6,
119.8,4.83,
126.4,5.15,
129.9,5.34,
133.1,5.36,
136.4,5.32,0.44
138.8,5.36,0.44
141.6,5.21,0.44
143.6,5.22,0.44
146.2,5.24,0.44
149.3,5.33,
152.7,5.49,0.44
155.0,5.35,0.44
158.1,5.13,
163.9,4.9,0.44
165.5,4.63,0.44
167.0,4.45,0.44
168.7,4.26,0.44
170.3,4.07,0.44
171.9,3.95,0.44
173.5,3.88,0.44
175.0,3.82,0.44
176.6,3.82,0.44
178.6,3.85,0.44
180.8,3.93,
184.5,4.04,
188.1,4.13,
194.8,4.53,
198.3,4.66,
202.7,4.83,
208.5,5.0,
212.3,5.17,
216.2,5.21,
220.3,5.38,
224.4,5.57,
232.9,5.27,
236.6,5.21,
240.0,5.2,0.44
242.7,5.25,
246.9,5.25,
250.4,5.52,
253.9,5.38,0.44
255.9,5.27,0.44
258.2,5.1,0.44
260.1,4.99,0.44
262.0,4.96,0.44
263.9,4.92,
271.9,4.65,0.44
273.4,4.65,0.44
275.0,4.58,0.44
276.5,4.58,0.44
277.9,4.52,0.44
279.5,4.52,0.44
281.0,4.34,0.44
282.6,4.15,0.44
284.1,4.03,0.44
285.6,3.91,0.44
287.2,3.93,0.44
288.9,3.95,0.44
290.6,3.97,0.44
292.5,3.97,0.44
294.2,3.92,0.44
296.2,3.92,0.44
299.0,3.98,0.44
301.0,3.98,0.44
302.6,3.93,0.44
304.5,3.96,0.44
306.7,3.98,0.44
308.7,4.03,0.44
310.5,3.92,0.44
312.1,3.93,0.44
314.3,3.99,0.44
316.4,4.05,0.44
318.3,3.99,0.44
320.1,3.93,0.44
321.8,3.95,0.44
323.5,4.01,0.44
325.8,4.03,0.44
327.6,4.05,0.44
329.4,3.94,0.44
331.0,3.95,0.44
332.7,4.0,0.44
334.8,4.07,0.44
336.6,4.06,0.44
338.3,4.0,0.44
339.9,3.94,0.44
341.3,3.95,0.44
342.9,3.5,0.44
344.5,2.78,0.44
346.1,2.9,0.44
347.6,2.95,0.44
349.0,2.99,0.44
350.5,3.01,0.44
352.0,3.01,0.44
353.5,3.03,0.44
355.0,3.05,0.44
356.6,3.07,0.44
358.1,3.09,0.44
359.6,3.1,0.44
361.2,3.1,0.44
362.7,3.11,0.44
364.3,3.14,0.44
365.8,3.15,0.44
367.4,3.16,0.44
368.9,3.18,0.44
370.5,3.19,0.44
372.1,3.2,0.44
373.6,3.21,0.44
375.2,3.24,0.44
376.9,3.25,0.44
378.8,3.26,0.44
380.7,3.27,0.44
382.2,3.24,0.44
383.7,3.27,0.44
385.6,3.32,0.44
387.4,3.37,0.44
389.4,3.41,0.44
390.9,3.46,0.44
392.9,3.54,0.44
394.6,3.38,0.44
396.9,3.47,0.44
398.9,3.54,0.44
400.8,3.6,0.44
402.4,3.38,0.44
403.9,3.57,0.44
405.6,3.45,0.45
407.2,3.48,0.46
408.7,3.51,0.71
410.2,3.42,0.8
411.8,3.54,0.8
413.9,3.62,0.8
415.8,3.69,0.8
417.8,3.75,0.8
419.8,3.82,0.8
421.7,3.89,0.8
423.7,4.0,0.8
425.7,4.07,0.8
427.8,4.14,0.8
429.9,4.21,0.8
431.9,4.28,0.8
434.0,4.36,0.8
435.8,4.44,0.8
437.8,4.51,0.8
439.9,4.58,0.8
441.9,4.65,0.8
444.3,4.73,0.8
446.4,4.8,0.8
448.6,4.87,0.8
450.6,4.93,0.8
452.6,4.99,0.8
454.7,5.06,0.8
456.6,5.13,0.8
458.7,5.19,0.8
460.7,5.25,0.8
462.9,5.32,0.8
464.9,5.38,0.8
466.9,5.45,0.8
469.0,5.51,0.8
471.1,5.57,0.8
473.1,5.64,0.8
475.2,5.7,0.8
477.3,5.77,0.8
479.4,5.83,0.8
481.4,5.89,0.8
483.7,5.96,0.8
485.9,6.0,0.8
488.2,6.04,0.8
490.3,6.09,0.8
492.6,6.13,0.8
494.7,6.2,0.8
496.9,6.3,0.8
499.1,6.4,0.8
500.9,6.51,0.8
502.8,6.61,0.8
504.6,6.73,0.8
506.5,6.83,0.8
508.3,6.97,0.8
510.0,7.13,0.8
511.7,7.28,0.8
513.4,7.46,0.8
515.2,7.58,0.8
516.9,7.69,0.8
518.5,7.82,0.8
520.2,7.97,0.8
521.9,8.13,0.8
523.4,6.65,0.8
