# total_ram_gb=16.0
t,ram_gb,vram_gb
0.0,0.56,
1.0,0.56,
2.0,0.56,
3.0,0.56,
4.0,0.56,
5.1,0.56,
6.1,0.56,
7.1,0.56,
8.1,0.56,
9.1,0.59,
10.1,0.74,
11.1,0.78,
12.1,0.87,
13.1,1.64,
14.1,1.37,
15.1,1.79,
16.1,1.49,
17.1,1.96,
18.1,1.46,
19.1,0.88,
20.1,0.89,
21.1,0.89,
22.1,0.89,
23.1,0.89,
24.1,0.9,
25.1,0.91,
26.1,0.91,
27.1,0.91,
28.1,0.91,
29.1,0.91,
30.1,0.91,
31.1,0.91,
32.2,0.91,
33.2,0.91,
34.2,0.91,
35.2,0.91,
36.2,0.91,
37.2,0.91,
38.2,0.91,
39.2,0.91,
40.2,0.91,
41.2,0.91,
42.2,0.91,
43.2,0.91,
44.2,0.91,
45.2,0.91,
46.2,0.91,
47.2,0.91,
48.2,0.91,
49.2,0.91,
50.2,0.91,
51.2,0.91,
52.2,0.91,
53.2,0.91,
54.2,0.91,
55.2,0.91,
56.2,0.91,
57.2,0.91,
58.2,0.91,
59.2,0.9,
60.2,0.9,
61.2,0.9,
62.2,0.9,
63.3,0.9,
64.3,0.9,
65.3,0.89,
66.3,0.89,
67.3,0.88,
68.3,0.88,
69.3,0.87,
70.3,0.86,
71.3,0.86,
72.3,0.85,
73.3,0.85,
74.3,0.84,
75.3,0.84,
76.3,0.84,
77.3,0.84,
78.3,0.84,
79.3,0.84,
80.3,0.83,
81.3,0.83,
82.3,0.83,
83.3,0.83,
84.3,0.83,
85.3,0.83,
86.3,0.83,
87.3,0.83,
88.3,0.83,
89.3,0.83,
90.3,0.82,
91.3,0.82,
92.3,0.81,
