# total_ram_gb=16.0
t,ram_gb,vram_gb
0.0,0.81,
1.0,0.8,
2.0,0.8,
3.0,0.8,
4.0,0.79,
5.0,0.79,
6.0,0.79,
7.0,0.57,
8.0,0.66,
9.0,0.68,
10.1,0.77,
11.1,0.79,
12.1,0.8,
13.1,0.89,
14.1,0.89,
15.1,0.88,
16.1,0.96,
17.1,0.88,
18.1,0.89,
19.1,0.9,
20.1,0.91,
21.1,0.92,
22.1,0.93,
23.2,0.94,
24.2,0.94,
25.2,0.95,
26.2,0.96,
27.2,0.97,
28.2,0.98,
29.2,0.99,
30.2,1.0,
31.2,1.11,
32.2,1.13,
33.2,1.13,
34.2,1.13,
35.2,1.13,
36.3,1.13,
37.3,1.13,
38.3,1.13,
39.3,1.13,
40.3,1.13,
41.3,1.13,
42.3,1.13,
43.3,1.13,
44.3,1.13,
45.3,1.13,
46.4,1.12,
47.4,0.8,
48.4,0.79,
49.4,0.79,
