# total_ram_gb=16.0
t,ram_gb,vram_gb
0.0,4.2,
1.0,4.17,
2.0,4.24,
3.0,4.35,
4.0,4.35,
5.0,4.38,
6.0,4.4,
7.0,4.5,
8.0,4.51,
9.0,4.55,
10.0,4.59,
11.0,4.66,
12.0,4.67,
13.0,4.71,
14.0,4.54,
15.0,4.55,
16.0,4.16,
17.0,4.31,
18.0,4.33,
19.0,4.36,
20.0,4.41,
21.0,4.48,
22.0,4.49,
23.0,4.5,
24.0,4.55,
25.0,4.55,
26.0,4.54,
27.0,4.24,
28.0,4.32,
29.0,4.32,
30.0,4.37,
31.0,4.35,
32.0,4.4,
33.0,4.43,
34.0,4.41,
35.0,4.48,
36.0,4.45,
37.0,4.06,
38.0,4.05,
39.0,4.04,
40.0,4.05,
41.0,4.05,
42.0,4.04,
43.0,4.04,
44.0,4.04,
45.0,4.04,
46.0,4.03,
47.0,4.02,
48.0,4.02,
49.0,4.03,
50.1,4.03,
51.1,4.02,
52.1,4.02,
53.1,3.83,
54.1,3.84,
55.1,3.82,
