# total_ram_gb=31.9
t,ram_gb,vram_gb
0.0,3.0,
1.0,5.13,
2.0,5.6,
3.0,5.6,
4.1,5.6,
5.1,5.6,
6.1,5.6,
7.1,1.14,
8.1,1.36,
9.1,1.39,
10.2,1.52,
11.2,1.61,
12.2,1.66,
13.2,1.67,
14.2,1.69,
15.2,1.71,
16.2,1.8,
17.3,1.84,
18.3,8.98,
19.3,6.71,
20.3,6.71,
21.3,6.72,
22.4,6.71,
23.4,5.68,
24.4,3.18,
25.4,3.58,
26.4,3.98,
27.4,4.09,
28.4,4.1,
29.5,3.94,
30.5,4.12,
31.5,3.96,
32.5,4.25,
33.5,4.09,
34.5,4.19,
35.5,4.2,
36.5,4.21,
37.6,4.22,
38.6,4.23,
39.6,4.24,
40.6,4.08,
41.6,4.26,
42.6,4.18,
43.6,4.31,
44.7,4.47,
45.7,4.33,
46.7,4.34,
47.7,4.35,
48.7,4.36,
49.7,4.2,
50.7,4.38,
51.7,4.22,
52.8,4.7,
53.8,4.35,
54.8,4.45,
55.8,4.45,
56.8,4.29,
57.8,4.2,
58.9,2.89,
59.9,2.91,
60.9,2.91,
61.9,2.91,
62.9,2.91,
63.9,2.91,
65.0,2.91,
66.0,2.91,
67.0,2.91,
68.0,2.92,
69.0,2.53,
70.0,4.07,
71.0,2.67,
72.0,2.41,
73.1,2.57,
74.1,2.84,
75.1,2.99,
76.1,3.08,
77.1,3.06,
78.2,3.07,
79.2,3.07,
80.2,3.08,
81.2,3.09,
82.2,3.1,
83.2,3.11,
84.3,3.11,
85.3,3.12,
86.3,5.16,
87.3,5.65,
88.3,5.65,
