# total_ram_gb=31.9
t,ram_gb,vram_gb
0.0,0.95,
1.0,0.96,
2.0,0.97,
3.0,0.97,
4.1,0.97,
5.1,0.97,
6.1,0.97,
7.1,0.97,
8.1,1.04,
9.1,1.43,
10.1,1.46,
11.1,1.5,
12.2,1.54,
13.2,1.66,
14.2,1.75,
15.2,1.76,
16.2,1.8,
17.2,1.8,
18.3,1.9,
19.3,1.81,
20.3,1.89,
21.3,1.96,
22.3,1.93,
23.3,1.99,
24.3,2.11,
25.4,2.23,
26.4,2.28,
27.4,2.4,
28.4,2.33,
29.4,2.39,
30.4,2.44,
31.4,2.43,
32.5,2.49,
33.5,2.61,
34.5,2.72,
35.5,2.65,
36.5,2.77,
37.5,2.89,
38.6,2.95,
39.6,2.69,
40.6,2.39,
41.6,1.82,
42.6,1.87,
43.6,1.98,
44.6,2.05,
45.6,1.97,
46.6,2.08,
47.7,2.2,
48.7,2.32,
49.7,2.25,
50.7,2.24,
51.7,2.36,
52.7,2.29,
53.8,2.41,
54.8,2.52,
55.8,2.58,
56.8,2.64,
57.8,2.75,
58.9,2.87,
59.9,2.99,
60.9,2.92,
61.9,3.04,
62.9,2.72,
63.9,2.46,
64.9,1.83,
66.0,1.84,
67.0,1.83,
68.0,1.89,
69.0,1.85,
70.0,1.83,
71.0,1.89,
72.0,1.83,
73.0,1.91,
74.1,1.83,
75.1,1.92,
76.1,1.84,
77.1,1.84,
78.1,2.0,
79.1,5.06,
80.1,8.52,
81.2,6.8,
82.2,6.8,
83.2,6.8,
84.2,6.8,
85.2,6.8,
86.3,6.49,
87.3,3.27,
88.3,3.77,
89.3,3.89,
90.3,3.8,
91.3,3.93,
92.3,3.87,
93.4,3.95,
94.4,3.98,
95.4,3.87,
96.4,4.0,
97.4,3.93,
98.4,4.02,
99.5,4.05,
100.5,3.94,
101.5,4.07,
102.5,4.0,
103.5,4.09,
104.5,4.09,
105.5,3.32,
106.6,2.79,
107.6,2.79,
108.6,2.79,
109.6,2.79,
110.6,2.79,
111.7,2.79,
112.7,2.58,
113.7,2.62,
114.7,2.9,
115.7,3.03,
116.7,3.06,
117.7,3.07,
118.7,3.08,
119.8,3.09,
120.8,3.1,
121.8,3.11,
122.8,3.07,
123.8,3.07,
124.8,3.07,
