# total_ram_gb=16.0
t,ram_gb,vram_gb
0.0,4.78,
1.0,4.81,
2.0,4.97,
3.0,5.03,
4.0,5.01,
5.0,5.01,
6.0,5.07,
7.0,5.11,
8.0,5.11,
9.0,5.11,
10.0,5.16,
11.0,5.62,
12.0,5.66,
13.0,5.68,
14.0,5.74,
15.0,5.76,
16.0,5.84,
17.0,6.03,
18.0,6.37,
19.1,6.41,
20.1,6.43,
21.1,6.5,
22.1,6.53,
23.1,6.53,
24.1,6.52,
25.1,6.5,
26.1,5.86,
27.1,5.85,
28.1,5.85,
29.1,5.86,
30.1,5.86,
31.1,5.8,
32.1,5.81,
33.1,5.82,
34.1,5.82,
35.1,5.82,
36.1,5.83,
37.1,6.0,
38.1,6.05,
39.1,6.05,
40.1,6.05,
41.1,6.05,
42.1,6.05,
43.1,6.05,
44.1,6.05,
45.1,6.05,
46.1,5.89,
47.1,5.89,
48.1,5.88,
49.1,5.91,
50.1,5.91,
51.1,5.91,
52.1,5.95,
53.1,5.94,
54.1,5.87,
55.1,5.87,
56.1,5.87,
57.1,5.9,
58.1,5.9,
59.1,5.92,
60.1,5.89,
61.1,5.87,
62.1,5.87,
63.1,5.87,
64.1,5.87,
65.1,5.87,
66.1,5.86,
67.1,5.86,
68.1,5.86,
69.1,5.86,
70.1,5.86,
71.1,5.86,
72.1,5.85,
73.1,5.85,
74.1,5.85,
75.1,5.85,
76.1,5.85,
77.1,5.85,
78.1,5.85,
79.1,5.85,
80.1,5.85,
81.1,5.85,
82.1,5.85,
83.1,5.84,
84.1,5.84,
85.1,5.84,
86.1,5.84,
87.1,5.84,
88.1,5.84,
89.1,5.84,
90.1,5.84,
91.1,5.86,
92.1,5.86,
93.1,5.86,
94.1,5.86,
95.1,5.86,
96.1,5.86,
97.1,5.85,
98.1,5.85,
