# total_ram_gb=16.0
t,ram_gb,vram_gb
0.0,5.85,
1.0,5.78,
2.0,5.89,
3.0,5.99,
4.0,6.11,
5.0,6.12,
6.0,6.1,
7.0,5.43,
8.0,5.86,
9.0,5.93,
10.0,5.93,
11.0,5.95,
12.0,5.94,
13.0,5.98,
14.0,5.99,
15.0,6.07,
16.0,6.1,
17.0,6.12,
18.0,6.13,
19.0,6.22,
20.0,6.2,
21.0,6.24,
22.0,6.16,
23.0,6.14,
24.0,6.16,
25.1,6.16,
26.1,6.16,
27.1,6.17,
28.1,6.17,
29.1,6.18,
30.1,6.19,
31.1,6.12,
32.1,6.12,
33.1,6.13,
34.1,6.12,
35.1,6.15,
36.1,6.14,
37.1,6.15,
38.1,6.16,
39.1,6.29,
40.1,6.29,
41.1,6.26,
42.1,6.25,
43.1,6.25,
44.1,6.25,
45.1,6.25,
46.1,6.25,
47.1,6.25,
48.1,6.25,
49.1,6.25,
50.1,6.24,
51.1,6.24,
52.1,6.24,
53.1,6.23,
54.1,6.23,
55.1,6.09,
56.1,5.74,
57.1,5.99,
58.1,5.99,
