# total_ram_gb=16.0
t,ram_gb,vram_gb
0.0,4.94,
1.0,4.99,
2.0,5.07,
3.0,5.21,
4.0,5.23,
5.0,5.22,
6.0,5.23,
7.0,5.28,
8.0,5.26,
9.0,5.26,
10.0,5.3,
11.0,5.71,
12.0,5.79,
13.0,5.81,
14.0,5.87,
15.0,5.9,
16.2,5.99,
17.2,6.53,
18.3,6.55,
19.3,6.53,
20.3,6.55,
21.3,6.57,
22.3,6.38,
23.3,6.49,
24.3,6.99,
25.3,7.02,
26.3,6.51,
27.3,5.96,
28.3,5.96,
29.3,5.96,
30.3,5.96,
31.3,5.96,
32.4,5.89,
33.4,5.91,
34.4,5.92,
35.4,5.92,
36.4,5.92,
37.4,5.93,
38.4,6.09,
39.4,6.12,
40.4,6.11,
41.4,6.11,
42.4,6.1,
43.4,6.09,
44.4,6.09,
45.4,6.08,
46.4,6.03,
47.4,5.9,
48.4,5.89,
49.4,5.89,
50.4,5.89,
51.4,5.89,
52.4,5.89,
53.4,5.89,
54.4,5.88,
55.4,5.88,
56.4,5.9,
57.4,5.91,
58.4,5.91,
59.4,5.91,
60.4,5.89,
61.4,5.89,
62.4,5.89,
63.4,5.9,
64.4,5.9,
65.4,5.9,
66.4,5.91,
67.4,5.91,
68.4,5.9,
69.4,5.9,
70.4,5.9,
71.4,5.89,
72.4,5.9,
73.4,5.89,
74.4,5.89,
75.4,5.88,
76.4,5.87,
77.4,5.87,
78.4,5.87,
79.4,5.85,
80.4,5.88,
81.4,5.87,
82.4,5.87,
83.4,5.86,
84.4,5.86,
85.4,5.85,
86.4,5.84,
87.4,5.85,
88.4,5.84,
89.4,5.83,
90.4,5.84,
91.4,5.85,
92.4,5.83,
93.4,5.83,
94.4,5.82,
95.4,5.81,
96.4,5.81,
97.4,5.75,
98.4,5.75,
99.4,5.74,
100.4,5.73,
101.4,5.74,
