# total_ram_gb=16.0
t,ram_gb,vram_gb
0.0,1.93,
1.0,1.93,
2.0,1.93,
3.0,1.92,
4.0,1.92,
5.0,1.92,
6.0,1.92,
7.0,1.64,
8.0,1.77,
9.0,1.8,
10.1,1.88,
11.1,1.91,
12.1,1.93,
13.1,1.93,
14.1,1.92,
15.1,1.97,
16.1,1.99,
17.1,2.0,
18.1,2.01,
19.1,2.02,
20.1,2.03,
21.1,2.03,
22.1,2.03,
23.1,2.04,
24.1,2.05,
25.1,2.06,
26.2,2.07,
27.2,2.07,
28.2,2.08,
29.2,2.17,
30.2,2.21,
31.2,2.2,
32.2,2.19,
33.2,2.19,
34.2,2.19,
35.2,2.18,
36.2,2.18,
37.3,2.18,
38.3,2.18,
39.3,2.17,
40.3,2.16,
41.3,2.15,
42.3,2.14,
43.3,2.13,
44.3,2.12,
45.3,1.79,
46.3,1.78,
47.3,1.77,
