# total_ram_gb=16.0
t,ram_gb,vram_gb
0.0,4.99,
1.0,4.86,
2.0,5.02,
3.0,5.16,
4.0,5.16,
5.0,5.15,
6.0,5.13,
7.0,5.26,
8.0,5.33,
9.0,5.34,
10.0,5.39,
11.0,5.45,
12.0,5.33,
13.0,5.35,
14.0,5.34,
15.0,5.37,
16.0,5.39,
17.0,5.04,
18.0,5.17,
19.0,5.18,
20.0,5.24,
21.0,5.28,
22.0,5.34,
23.0,5.36,
24.0,5.36,
25.0,5.37,
26.0,5.37,
27.0,5.37,
28.0,5.37,
29.0,5.39,
30.0,5.39,
31.0,4.92,
32.0,5.06,
33.0,5.11,
34.0,5.14,
35.0,5.16,
36.0,5.2,
37.0,5.23,
38.0,5.2,
39.0,5.17,
40.0,5.21,
41.0,4.8,
42.0,4.8,
43.0,4.79,
44.0,4.81,
45.0,4.79,
46.0,4.79,
47.0,4.78,
48.0,4.78,
49.0,4.78,
50.0,4.66,
51.0,4.6,
52.1,4.59,
53.1,4.58,
54.1,4.58,
55.1,4.57,
56.1,4.57,
57.1,4.56,
58.1,4.55,
59.1,4.54,
