# total_ram_gb=31.9
t,ram_gb,vram_gb
0.0,3.03,
1.0,1.34,
2.0,1.44,
3.0,1.47,
4.1,1.57,
5.1,1.57,
6.1,1.59,
7.1,1.68,
8.1,1.71,
9.1,1.73,
10.1,1.77,
11.1,1.86,
12.2,2.91,
13.2,8.61,
14.2,6.78,
15.2,6.78,
16.2,6.78,
17.2,6.78,
18.2,6.78,
19.3,6.78,
20.3,6.78,
21.3,6.78,
22.3,6.78,
23.3,6.78,
24.4,6.78,
25.4,6.78,
26.4,6.78,
27.4,6.78,
28.4,5.18,
29.4,3.24,
30.5,3.64,
31.5,4.02,
32.5,3.92,
33.5,4.11,
34.5,4.13,
35.5,3.99,
36.5,4.14,
37.6,4.16,
38.6,4.13,
39.6,4.18,
40.6,4.0,
41.6,4.19,
42.6,4.21,
43.7,4.12,
44.7,4.39,
45.7,4.05,
46.7,4.24,
47.7,4.25,
48.7,4.08,
49.8,4.26,
50.8,4.27,
51.8,4.21,
52.8,4.31,
53.8,4.12,
54.9,4.3,
55.9,4.32,
56.9,4.15,
57.9,4.33,
58.9,4.35,
59.9,4.29,
60.9,4.53,
61.9,4.37,
63.0,4.36,
64.0,4.39,
65.0,4.39,
66.0,4.46,
67.0,4.42,
68.1,4.24,
69.1,4.42,
70.1,4.44,
71.1,4.29,
72.1,4.45,
73.1,4.46,
74.1,4.49,
75.1,4.49,
76.2,4.33,
77.2,3.55,
78.2,2.93,
79.2,2.93,
80.2,2.93,
81.2,2.93,
82.3,2.93,
83.3,2.93,
84.3,2.93,
85.3,2.93,
86.3,2.93,
87.4,2.93,
88.4,2.54,
89.4,2.73,
90.4,2.85,
91.4,2.97,
92.4,3.1,
93.4,3.22,
94.5,3.35,
95.5,3.71,
96.5,2.75,
97.5,2.44,
98.5,2.6,
99.5,2.92,
100.6,3.01,
101.6,3.16,
102.6,3.07,
103.6,3.08,
104.6,3.09,
105.6,3.1,
106.6,3.11,
107.7,3.12,
108.7,3.12,
109.7,3.13,
110.7,4.39,
111.7,5.66,
112.7,5.66,
