# total_ram_gb=31.9
t,ram_gb,vram_gb
0.0,0.94,
1.0,0.94,
2.0,0.94,
3.0,0.94,
4.0,0.94,
5.1,0.94,
6.1,0.94,
7.1,0.94,
8.1,1.02,
9.1,1.38,
10.1,1.45,
11.1,1.48,
12.1,1.64,
13.2,1.68,
14.2,1.7,
15.2,1.72,
16.2,1.81,
17.2,1.72,
18.2,1.77,
19.3,1.89,
20.3,1.94,
21.3,2.0,
22.3,2.06,
23.3,2.18,
24.3,2.29,
25.3,2.41,
26.3,2.53,
27.3,2.64,
28.4,2.76,
29.4,2.89,
30.4,2.88,
31.4,3.0,
32.4,2.8,
33.4,2.55,
34.5,2.66,
35.5,2.72,
36.5,2.77,
37.5,2.89,
38.5,2.68,
39.5,1.99,
40.5,1.74,
41.5,1.85,
42.6,1.91,
43.6,2.02,
44.6,2.14,
45.6,2.19,
46.6,2.31,
47.6,2.43,
48.6,2.55,
49.7,2.67,
50.7,2.66,
51.7,2.78,
52.7,2.83,
53.7,2.95,
54.7,3.06,
55.8,2.75,
56.8,2.87,
57.8,2.98,
58.8,3.04,
59.8,2.97,
60.8,2.77,
61.8,2.7,
62.8,2.26,
63.9,1.74,
64.9,1.76,
65.9,1.74,
66.9,1.82,
67.9,1.78,
68.9,1.74,
70.0,1.8,
71.0,1.74,
72.0,1.83,
73.0,1.74,
74.0,1.84,
75.0,1.75,
76.0,1.77,
77.0,1.77,
78.1,1.78,
79.1,1.79,
80.1,1.8,
81.1,1.81,
82.1,1.83,
83.1,2.15,
84.2,7.13,
85.2,6.77,
86.2,6.77,
87.2,6.77,
88.2,6.77,
89.2,6.77,
90.2,6.78,
91.3,4.29,
92.3,3.51,
93.3,3.76,
94.3,3.84,
95.3,3.87,
96.3,3.77,
97.4,3.89,
98.4,3.82,
99.4,3.92,
100.4,3.94,
101.4,3.84,
102.4,3.96,
103.4,3.88,
104.5,3.99,
105.5,4.03,
106.5,3.91,
107.5,4.03,
108.5,3.95,
109.5,3.95,
110.5,2.73,
111.6,2.73,
112.6,2.73,
113.6,2.73,
114.6,2.73,
115.6,2.73,
116.6,2.52,
117.7,2.56,
118.7,2.76,
119.7,2.97,
120.7,3.03,
121.7,3.03,
122.7,3.04,
123.7,3.05,
124.8,3.06,
125.8,3.07,
126.8,3.03,
127.8,3.03,
128.8,3.03,
